2009-01-01 	6 	67 	India	 Guwahati, India.	A serial blast kills 5 civilians and injures 67 in the city of Guwahati. Police believe the United Liberation Front of Assam are responsible for the attacks.[1]
2009-01-02 	4 	37 	Sri Lanka	 Colombo, Sri Lanka.	Hours after the capture of the Tamil Tigers capital in northern Sri Lanka, a suicide bomber in Colombo struck killing three security officers and himself and wounding an additional 37 others.[4]
2009-01-02 	0 	25 	Ukraine 	Melitopol, Ukraine.	 A bomb exploded inside a bank injuring 25 people in the town of Melitopol. The bank and other buildings were damaged in the blast the bomber is unknown.[5]
2009-01-03 	0 	3 	Sri Lanka	 Colombo, Sri Lanka.	 A bomb blast outside a mosque in Colombo injured three people.[6]
2009-01-17 	0 	0 	Spain	 Hernani, Spain.	 A blast went off at a television station in Hernani causing damage but no injuries. ETA is blamed for the attack.[15]
2009-01-24 	0 	0 	Serbia	 Kosovska Mitrovica, Serbia.	 Two explosions, with no injured, happened during the night in Tri solitera suburb.[21]
2009-01-26 	2 	6 	Nepal	 Katahariya village, Nepal.	 A bomb hanging from a tree at the Katahariya village local market exploded killing one person and injuring two other people seriously. The Tarai Army has claimed responsibility for the blast.[25]
2009-01-27 	0 	0 	France 	Corsica.	 Rocket attack against a police station.[26]
2009-01-28 	2 	4 	Colombia	 Bogota, Colombia.	 An explosion in a two-story building in Bogota has killed 2 people and injured at least four others.[27]
2009-01-30 	0 	10 	Philippines	 Davao City, Philippines.	 Communist rebels set off a landmine by a military convoy in Davao City and then attacked a police station with gunfire, injuring 10 people.[28]
2009-02-01 	3 	40 	China	 Zhumadian, Henan Province, China.	 An explosive device detonated outside a hospital in Zhumdian in Henan Province killing 3 people and injuring 40 others according to the Hong Kong Centre and police report four dead and two injured. It is believed someone unhappy with the hospital might be behind the explosion.[29]
2009-02-03 	4 	24 	Sri Lanka 	Colombo, Sri Lanka.	 Rebels detonated a bomb on a bus carrying Sri Lankan soldiers in the capital of Colombo killing four people and injuring twenty-four others as the military continues its offensive in northern Sri Lanka against Tamil rebels.[32]
2009-02-09 	30 	90 	Sri Lanka 	Vishvamadu, Sri Lanka.	 A female suicide bomber from the LTTE Black Tigers detonated her explosives in a crowd of soldiers and fleeing refugees in northern Sri Lanka as an attempt to cow people into not leaving rebel-held areas of Sri Lanka. Twenty-eight people including eight civilians were reportedly killed and at least ninety others wounded.[37][38]
2009-02-09 	0 	0 	Spain 	Madrid, Spain.	 A van carried with 100 kg of explosive exploded near the offices of construction company Ferrovial and the blast is being blamed on ETA rebels in the Basque Country after two political parties connected to ETA were banned from upcoming regional elections. No one was hurt or killed in the blast.[39]
2009-02-14 	1 	13 	Sri Lanka	 Puliyankulam, Sri Lanka.	 LTTE rebels tossed a hand grenade into a bus packed with refugees in Northern Sri Lanka killing one civilian and injuring 13 other people.[49]
2009-02-15 	0 	5 	Philippines	 Maitum, Philippines.	 An improvised explosive device detonated in front of a government building housing a gymnasium injuring five people.[50]
2009-02-18 	0 	0 	Greece	 Athens, Greece.	 Two gunmen fired 13 shots into a private T.V studio's compound and tossed in an explosive device before fleeing on two sport motorcycles. No one was hurt or killed in the incident and the bomb failed to explode.[51]
2009-02-20 	4 	50 	Sri Lanka	 Colombo, Sri Lanka.	 Two Tamil Tigers aircraft packed with C4 explosives en route to the national airforce headquarters were shot down by the Sri Lankan military before reaching their target. 4 people including the two pilots were killed while over 50 were injured.[56]
2009-02-22 	0 	0 	Spain	 Barakaldo, Spain.	 A bomb detonated in Basque Country. No injuries were reported.[57]
2009-02-23 	0 	0 	Spain	 Lazkao, Spain.	 A rucksack packed with around 10 kg worth of explosives explodes outside the Basque Socialist Party headquarters in the town after a warning call from ETA. The blast took place at 3:00 am, causing major damage to the local but no injuries were reported.[60]
2009-02-24 	0 	0 	Spain	 Vitoria, Spain.	 A bomb explodes in front of a PNV headquarters in Vitoria causing minimal damage and no injuries.[61]
2009-02-27 	0 	0 	India	 Thoubal, India.	 Unknown militants threw bombs into a congressional office resulting in one bomb exploding resulting in significant damage but no injuries or deaths.[63]
2009-03-07 	2 	4 	United Kingdom	 Antrim town, Northern Ireland.	 Two unarmed soldiers, Patrick Azimkar and Mark Quinsey, of the 38 Engineer Regiment were shot dead outside Massereene Barracks. Two other soldiers and two civilian delivery men were also shot and wounded during the attack. An Irish republican paramilitary group, the Real IRA, issued a statement claiming responsibility.[75]
2009-03-07 	2 	6 	China	 Nanyang, Henan, China.	 A bomb exploded in an apartment complex killing two people and injuring six others including five kindergarten-aged children and an instructor.[79]
2009-03-09 	1 	0 	United Kingdom	 Craigavon, Northern Ireland.	 PSNI officer Stephen Carroll was shot dead by a sniper in Craigavon, County Armagh. This was the first killing of a police officer in Northern Ireland since 1998.[81] The Continuity IRA claimed responsibility for the shooting.
2009-03-10 	14 	41 	Sri Lanka	 Southern Sri Lanka, Sri Lanka.	 A suicide bomber occurred at a mosque in a southern town in Sri Lanka killing 14 people and injuring 41 others including a minister.[82]
2009-03-15 	2 	0 	Israel	 Shchem, Israel	 Two Israeli traffic policeman were killed near the town of Nablus by the Imad Mughniyeh Group, an organization named after the assassination of Hezbollah leader Imad Mughniyah. Israeli police spokesman Micky Rosenfeld said "nationalistic motive" appeared to have been behind the attack.[87]
2009-03-18 	1 	12 	India	 New Jalpaiguri, India.	 An explosive detonates, killing 1 person and injuring at least 12 others. The provincial administration believes the blast is not related to upcoming district elections, but by unidentified terrorists.[93]
2009-03-18 	0 	0 	Greece	 Athens, Greece.	 A homemade bomb exploded at the government office of the ruling party in Greece, causing damage but no injuries according to the police. Deputy Kyriakos Mitsotakis was not at the office during the attack.[94]
2009-03-22 	0 	7 	Philippines	 Kidapawan, Philippines.	 A bomb exploded on an overpass over a busy marketplace wounding seven people. The blast blew out windows of local shops and police officers and soldiers began stepped up patrols of the area.[100]
2009-03-25 	0 	12 	India	 Tezpur, Assam, India.	 Militants in insurgent racked Assam province tossed a grenade into a busy marketplace in Tezpur, Assam injuring twelve people, two seriously.
2009-03-26 	0 	0 	Spain	 Amorebieta,	 a bomb explodes in a businessman chalet suspected to be the work of ETA. No one was killed or injured.[109]
2009-04-06 	7 	60 	India	 Assam	 Two bomb blasts kill 7 and injure 60 a day before Prime Minister Manmohan Singh was expected to visit. Police accuse United Liberation Front of coordinating the attacks.[117]
2009-04-09 	5 	0 	Indonesia	 Jayapura	 A bomb attack in Jayapura killed 5 men and injured severely several others. Police blamed Free Papua Movement. Meanwhile, about 500 militants attacked a police post with bows and arrows and petrol bombs. The police reply and kills someone.[122]
2009-04-10 	1 	3 	Thailand	 Chalerm	 Black clothed militants opened fire on a train as it was stopped at a local train station. One train attendant was shot and killed and three others were injured in the attack before the engineer was able to pull away from the station ensuring the attackers couldn't kill or injure anyone else.[124]
2009-05-6 	0 	0 	Spain	 Castro Urdiales	 Two bombs exploded at two cellphone towers in the Basque region of northern Spain resulting in damage to both towers but no injuries or deaths.[141]
2009-05-12 	0 	0 	Greece 	Athens	 In southern Athens at a Eurobank a bomb exploded early in the morning causing damage to the building but no injuries or deaths. It is believed to be the fourth attack by far-left militants on government targets since the beginning of the year.[146]
2009-05-15 	0 	8 	India 	Orissa	 A bomb placed for Indian security forces exploded when day laborers working a field disturbed the explosive device resulting in the explosion. Eight civilians were injured.[151]
2009-05-16 	0 	30 	Hong Kong 	Hong Kong	 Acid was tossed into a popular market filled with shoppers on a busy Hong Kong street injuring thirty people including an infant. Most people suffered burns to their faces, arms and legs and it is suspected that the acid was corrosive but had been sent to a lab for analyst.[153]
2009-05-17 	0 	60 	Nepal 	Janakpur	 The only train system in Nepal was targeted by a cylinder bomb as a train passed resulting in sixty people being injured in the blast.[154]
2009-05-20 	0 	1 	Sweden	 Stockholm	 A female television journalist for Sweden's TV4 channel was seriously injured after a bomb exploded when she went to open the front door to her apartment. Stockholm police believe the attack was a deliberate terrorist act against the journalism community in Sweden.[157]
2009-05-23 	2 	15 	Nepal	 Kathmandu	 An explosion rocked a Christian church in Kathmandu, Nepal during Saturday morning mass in this mostly Buddhist and Hindu nation. An Indian national and a Nepalese civilian were killed in the blast and fifteen were hurt. Communal and religious violence in this mountainous nation is extremely rare and police state an underground Hindu organization made a claim of responsibility for the blast.[162]
2009-05-25 	0 	0 	United States	 New York City	 A small explosive device exploded out front of a Starbucks in New York City destroying a bench it had been placed on. No injuries or deaths were reported in the blast.[165]
2009-05-30 	0 	0 	Ecuador 	Quito	 A right-wing television station with fifty employees onsite, and the Ministry of Education building in a northern Quito, Ecuador suburb were targeted by two letter bombs that exploded early on Saturday morning. The two blasts caused moderate damage to both the TV station and the Education Ministry building but no deaths or injuries were reported. Anti-government letters were found near both locations.[170]
2009-06-02 	0 	0 	Georgia 	Jvari.	 A bomb blast damaged the Tbilisi-to-Zugdidi railway line. No one was killed or injured in the blast. The blast happened near the village of Jvari by the Georgia-Abkhazia border just two hours before a passenger train was due to travel the route.[172]
