2010-01-08	Bombing	0	1	United Kingdom	 Randalstown, Northern Ireland	A Police Service of Northern Ireland officer was wounded when a bomb exploded underneath his car in Randalstown, County Antrim.[4] Real IRA  Symbol confirmed.svg 
2010-02-14	 Possible bombing	 0	 4	 Serbia	 Bujanovac, Serbia	 An ethnic Albanian policeman was injured by an explosion in Bujanovac, Serbia.[9][10] 
2010-02-18	Suicide attack	1	13	United States 	Austin, Texas	Andrew Joseph Stack III crashes his plane into an IRS building in Austin, Texas killing himself and a person inside the building and injuring 13 others. The crash caused a serious fire and significant damage to the building. 
2010-03-05	 Bombing	 0	 16	 Rwanda 	Kigali, Rwanda	 Two near-simultaneous grenade explosions at a car-washing yard and at a bus station injured 16 people. Hutu militia was blamed.[14] 
2010-03-16	 Defensive fighting/ assassination	 1	 0	 France	 Dammarie-lès-Lys, France	 Ten ETA members shot dead a French gendarme, Jean Serge Nerin, 53 years old, in Dammarie-lès-Lys, near Paris. Spanish government confirmed the shooting took place after a patrol of the local police found several people robbing a garage of vehicles. One suspect was arrested on the spot and identified himself as a member of ETA. This is the first time that ETA, which had always targeted Spanish officials and policemen, kills a French national policeman.[18] 
2010-03-24	 Bombing	 6	 30	 Colombia	 Buenaventura, Colombia	 A car bomb detonated in the centre of the Colombian pacific port of Buenaventura, near the mayor's office and the local public prosecutor's building. No group has claimed responsibility for this attack although left-wing FARC rebels are suspected.[20] 
2010-04-15	 Bombing	 9	 170	 Myanmar	 Yangon, Burma	 Three explosions went off at a park in the former capital of Yangon, Myanmar's commercial hub. These explosions happened as revellers gathered for a New Year water festival. Most of the pavilions on the U Htaungbo Road are run by companies said to be close to the governing authorities. Previous explosions were also blamed on dissident or ethnic rebels.[32][33] 
2010-05-01	 Bombing	 1	 30	Russia	 Nalchik, Kabardino-Balkaria, Russia	 A bomb exploded in the VIP lodge of a hippodrome during horse races within the city of Nalchik.[38]  
2010-05-08	Bombing	 2	 0	 Turkey	 Hakkari Province, Sirnak Province, Turkey	 Two separate bomb explosions killed two Turkish soldiers, whilst they were on patrol in the border districts of both the Hakkari and Sirnak provinces within the country.[39] 
2010-05-14	 Bombing	 0	 1	 Greece	 Thessaloniki, Greece	 A bomb exploded inside court house in Thessaloniki. One person was injured in the blast and there was some damage to the building.[41] 
2010-05-30	 Offensive and defensive fighting	 6	 3	 Turkey	 Sirnak Province, Siirt Province, Antakya, Turkey	 PKK rebels launched a series of attacks against security forces and village guardsmen within three Turkish provinces.[45] 
2010-06-02	 Offensive fighting	 1	 3	 Turkey	 Hakkari Province, Turkey	 PKK militants clashed with Turkish soldiers near the town of Cukurca, within the Hakkari Province, in the south-east of the country.[47] 
